epoch_ms,c2s_bytes,s2c_bytes,rtt_us,rttvar_us,throughput_Bps,status,algorithm,buffer_size,cwnd,ssthresh
1764779624660,0,0,269,126,0,OK,CUBIC,-1,10,300
1764779625164,0,0,504376,125619,0,OK,LINUX-FAILED-RENO,6144,10,300
1764779626172,0,1,8245761,1742762,0,OK,LINUX-FAILED-RENO,6144,10,300
1764779634922,81956,77860,183,3368466,315837,OK,LINUX-FAILED-RENO,6144,10,300
1764779635426,469556,303156,74,1894789,1216063,OK,LINUX-FAILED-RENO,6144,10,300
1764779635931,764480,634932,70,799380,1240990,OK,LINUX-FAILED-RENO,6144,76,300
1764779636443,1145152,888884,99,449678,1239500,OK,LINUX-FAILED-RENO,6144,10,300
1764779636948,1386048,1274038,19,252973,1024000,OK,CUBIC,10240,10,300
1764779637452,1717440,1573696,18,142313,1252083,OK,CUBIC,10240,10,300
1764779637956,2015680,1905472,50,80060,1250031,OK,CUBIC,10240,10,300
1764779638460,2351168,2202928,18,45040,1255841,OK,CUBIC,10240,10,300
1764779638964,2641216,2546992,63,25344,1258158,OK,CUBIC,10240,11,300
1764779639469,3013568,2829960,18,14267,1700226,OK,LINUX-FAILED-BBR,18432,10,300
1764779639973,3230272,3088008,40,8066,941968,OK,LINUX-FAILED-BBR,18432,10,300
1764779640477,3230272,3088008,137,4563,0,OK,LINUX-FAILED-BBR,18432,10,300
1764779640981,3230272,3088008,150,2586,0,OK,LINUX-FAILED-BBR,18432,10,300
1764779641486,3230272,3088008,72,1483,0,OK,LINUX-FAILED-BBR,18432,10,300
1764779641990,3230272,3088008,81,856,0,OK,LINUX-FAILED-BBR,18432,10,300
